chq,faq,value
"Patient at 38 weeks gestation, Gravida 1Para 0, blood pressure 140/80 (baseline 70), 2+ protein, swollen ankles, 9 pound weight gain in 1 week, unfavorable cervix. I think she has preeclampsia. Should I wait 24 hours? Is it really preeclampsia? How should I proceed? Should I induce or go straight to cesarean section due to unfavorable cervix. How much protein in urine are you looking for as a marker? Didn't know whether to hold off on magnesium sulfate since it might decrease success rate of induction. Is it safe to hold magnesium once you make the diagnosis. How dependable is uric acid?",What are the doses of Solumedrol and Claforan for an 8-year-old female?,0
What is the reference to the article that says you should do a limited abdominal computerized tomography (CT) rather than an intravenous pyelogram to confirm an acute kidney stone?,What are the indications for getting a digoxin level?,0
What is the dose for this bacterial endocarditis prophylactic antibiotic?,Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
"17-year-old girl with Turner's syndrome and chest pain, thought to be secondary to anxiety, seen in emergency room. Parents say she sometimes has hallucinations. Should she be on antipsychotic medications?",Should a Turner's patient with hallucinations be placed on antipsychotics?,1
"My husband has been on Prednisone for almost a year for a Cancer treatment he had. He started at 30mg and stayed on 10mg until a couple weeks ago. The prednisone was causing other side effects. He reduced down to 5mg for a couple days and now has been off the prednisone for a week. How
				long should we expect this drug to stay in his system. He is really experiencing chills/fever/abdominal pain..are these common when coming off this drug? Is there anything else we should expect?
			",Can electrical high voltage shock cause swallowing difficulty?,1
"Our clinic just instituted computer-assisted detection (CAD) for mammography. ""Any better?"" ""Increased false positives?""",Is computer-assisted detection for mammography better than standard mammography?,1
Phone call from mother. Child receiving desmopressin nasal spray for enuresis. She paid $111 for 50-dose spray. Can that be the correct cost?,Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum),0
He has a mole on his back.  Is it a seborrheic keratosis or an intradermal nevus?,I wonder if this patient could have a rotator cuff thing?,0
Why are his platelets so low? 27 is the lowest they have been. No petechiae or signs of bleeding noted.,"Idiopathic thrombocytopenic purpura, status post splenectomy. Why are platelets so low (27)? No petechiae or bleeding.",1
Ten-month-old with a buckle fracture of the proximal tibia.  What is the treatment?,What is the treatment for a buckle fracture in a ten-month-old?,1
How can I understand past bronchopulmonary dysplasia spells in a patient with chronic lung disease?,How can I understand bronchopulmonary dysplasia in a patient with chronic lung disease?,1
What should I do with this organic-personality-disorder patient with a subtherapeutic Depakote level but who is clinically stable?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
"One-year-old boy. ""Are we going to be too late for the hepatitis vaccine?""",What antibiotic should I use for this diabetic patient's infected foot ulcer?,0
The child received an injection of Phenergan for nausea and vomiting -- 25 milligrams.  Question asked of Dr. X's nurse was what size and concentration do the vials come in?  She just double checked this so she would know the amount (in cubic centimeter's) of the injection.,What size and concentration do Phenergan vials come in?,1
It's not crystal clear what's going on with her.  I may treat her for diverticulitis.  I've seen diverticulitis in a patient as young as 19-year-old.  (This patient is in her 20's.),It's not clear what's going on with her. I may treat her for diverticulitis.,1
Can keratosis pilaris cause a generalized rash or is it always confined to the upper arms?,What is the significance of an antinuclear antibody (ANA) of 1:40?,0
What would cause urinary retention in an elderly woman?,"What to do with this patient, biopsy shows carcinoma in situ of the vulva?",0
How do you work up an adult for chronic diarrhea?,How do you work up an adult for chronic diarrhea?,1
Can a ruptured ovarian follicle cyst cause a low grade fever and leukocytosis?,Let's give these immunizations. That's right isn't it?,0
"How do you treat and prevent and what causes urethral, prostatic, seminal vesicle stones (calculi)?","How do you treat and prevent and what causes urethral, prostatic, seminal vesicle stones?",1
What is causing this patient's rapidly progressing memory loss?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
"Email question from study physician:  ""A question we've had difficulty finding the right answer for: What is the normal alkaline phosphatase value for a 10-year-old girl?""",What is the normal alkaline phosphatase for a 10-year-old?,1
"15-month-old born prematurely with Potter's syndrome. Now has poorly functioning kidneys. ""I don't know if the failure to thrive is secondary to the foster mother or the renal problems.""",What is in Ortho Novum 1/35?,0
Let's give these immunizations. That's right isn't it?,Let's not give these immunizations. That's wrong isn't it?,0
Are there any new treatments or preventive treatments for influenza?,Are there any new treatments or preventive treatments for influenza?,1
"39-year-old woman on Paxil for depression and says she's 30% better.  She's complaining of fatigue.  I'm going to switch her to Zoloft, but I'm not sure what the differences in side effects are.",Is Zoloft less likely than Paxil to cause fatigue?,1
How do estrogen and progesterone affect serum lipid levels?,How do estrogen and progesterone affect serum lipid levels?,1
"85-year-old woman admitted 2 weeks ago with syncope. Nonsmoker. Has a mass in her lung. The question was, would you just go to surgery, or try bronchoscopy and that kind of thing first. And the differential diagnosis too. No other primary cancers in her. The thought was, since she had the syncope and some palpitations, could this be a carcinoid?",What is the diagnostic approach to a lung mass?,1
38-year-old female seen this morning. How to workup case of suspected infectious mononucleosis in someone with a history of infectious mononucleosis?,I wonder if this patient could have a rotator cuff thing?,0
How do you take an influenza culture?,How do you inject the bicipital tendon?,0
"Nine-month-old girl with excoriated diaper area due to diarrhea. This is a recurring question. ""What else can you try?""",What is the treatment for a diaper dermatitis due to diarrhea?,1
Is it legitimate to use fenfluramine and phentermine longer than 6 months to control obesity?  Is it legal?,Is it legitimate to use fenfluramine and phentermine longer than 6 months for obesity?,1
Can you use a higher dose of Depo-Provera and use it every six months rather than every three?  What dose?,Can you use a higher dose of Depo-Provera every six months rather than every three?,1
How do I handle the parents of a 9-month-old who is not gaining weight the way he should in the past month? Mom is breast feeding.,How do I handle the parents of a 9-month-old who is not gaining weight?,1
What is the least sedating muscle relaxant?,What is the least sedating muscle relaxant?,1
"Phone call. An elderly man lives at home with his wife. He's not eating, constipated, and has mobility problems. ""Why won't she agree to let her husband go into the nursing home?""",How should I treat polymenorrhea in a 14-year-old girl?,0
"A nine-year-old came in this morning to follow up a recent hospitalization for pneumonia. Now he's much better. Chest x-ray is better. White count is 8,000 to 10,000. But about 900,000 platelets. What should I do? Should I repeat it and how soon? Should I worry about it? I said we will repeat it in 1 month. Do I need to do it sooner?",Woman in early 30's with chest pain. Know in my gut she doesn't have heart disease. How far to workup?,0
44-year-old lady with a rash in the perineum.  The question was whether it was bad yeast or herpes.,"Patient can't use inhaler, upsets her stomach. Can an inhaler cause upset stomach?",0
How do you treat congestive heart failure when you also have chronic renal failure?,Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?,0
"Phone call, family of 81-year-old woman wants lab and x-ray results.  Tell them ""I'm still reviewing the results.""  81-year-old new patient with heart burn, low abdominal pain, hip pain.  Question of a uterine fibroid palpated on abdominal exam.  Ultrasound showed ""abnormal endometrium with irregular margins and a small fluid/blood collection.  Why would an 81 year old have that?  Wasn't sure what to do with that.","Ultrasound shows abnormal endometrium, small fluid/blood collection. What to do with that?",1
What is the diameter of a normal aortic root?  This patient's aortic root was 45 millimeters on echocardiogram (ECHO).,Let's give these immunizations.  That's right isn't it?,0
"Unusual presentation - patient has swelling (lymphoid tissue at base of tongue).  Is this normal or should I be concerned about a tumor, et cetera?",Patient with swelling (lymphoid tissue) at base of tongue. Is this normal?,1
What partial thromboplastin time (PTT) level should we be shooting for in someone on heparin?,How should I treat polymenorrhea in a 14-year-old girl?,0
Why is there so much recent interest in magnesium levels?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
"Patient with chronic gastroesophageal reflux disease, thoroughly worked up. Responds well to Tagamet. He says oral vitamin B12 helps. He asked me why. I didn't know.","Gastroesophageal reflux disease, says oral vitamin B12 helps. He asked me why. I didn't know.",1
"A 34-year-old woman with endometriosis and on progesterone and with increased iron (approximately 230).  Will this hurt her liver, heart, endocrine system?","A woman with endometriosis on progesterone and with increased iron.  Will this hurt her liver, heart, endocrine system?",1
"In this patient who is not responding to nonsteroidal anti-inflammatory drugs for superficial thrombophlebitis, what is round two?",What is the treatment for superficial thrombophlebitis?,1
Do fluctuations or abnormal levels of estrogen and progesterone (such as with menopause or cyclic changes) cause emotional upset?,Do fluctuations or abnormal levels of estrogen and progesterone cause emotional upset?,1
"What is the right interval for checking the thyroid stimulating hormone level on patients on thyroid replacement, and if you make a change in dose, when should you check the thyroid stimulating hormone?",Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
"15-year-old boy with acne, tetracycline not working. What should I try next that is cost effective?",Is melatonin good for anything? What is the dose?,0
"85-year-old woman.  Hemoglobin has been about 11 for 5 years, normal iron studies.  If you have someone with borderline anemia (hemoglobin 10 or 12), when are Procrit (erythropoietin) injections indicated?","Patient with sore toe, history of gout, uric acid normal. Hard to diagnose gout with normal uric acid.",0
Are there studies to show that the recommended weight gains for pregnant women are truly beneficial?  He was referring to a patient whose starting weight was about 280 pounds.,Are recommended weight gains for pregnant women truly beneficial?,1
Is this a bacterial or a viral infection?,I wonder if this patient could have a rotator cuff thing?,0
How do you workup galactorrhea?  I think I should get at least a thyroid stimulating hormone and prolactin level.,How do you workup galactorrhea?,1
What are the criteria for a head computerized tomogram?,What are the criteria for a head computerized tomogram?,1
What are likelihood ratios?,Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
What is Ambien (zolpidem) and is it any good? Is it okay to prescribe it chronically?,What is Ambien (zolpidem) and is it any good?,1
How do you tell if a distal fibular fracture is stable in which case you can just use a blue boot?,"Obstetric patient, 39 weeks had a little sore, ? herpes. How long after she heals is it safe to do a vaginal delivery?",0
What is the differential diagnosis of fatigue?,What is the differential diagnosis of fatigue?,1
"What are the chances of reversing a vasectomy?  He asked me and I didn't know.  Specifically, does the technique of doing a vasectomy affect the chance of reversal?",What are the chances of reversing a vasectomy? He asked me and I didn't know.,1
"2-year-old boy who has some autistic features.  The main question was . . . mother says she tried a gluten-free diet.  She didn't think it worked, he became more irritable because he likes pasta.  She came right out and said, ""What do you think about the diet, Doc?""",Have there been studies on treating autism with gluten-free diets?,1
"84-year-old woman with a leukemoid reaction.  Persistent white blood counts in the 20,000's.  No sign of infection.  So the question was, what is the evaluation and causes of leukemoid reactions and what is the definition.",What are causes of a leukemoid reaction?,1
When will inhaled insulin be available?,Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
What are the indications and contraindications to thrombolytics and what is the dose?,What are the indications and contraindications to thrombolytics?,1
"I asked him what he was looking up. He said, ""whether to give drops or elixir acetaminophen to a 1-year-old for their immunizations and what dose.""",What is the dose of Famvir?,0
"This patient has an ulcer on his foot from peripheral vascular disease, no diabetes. We have a podiatrist in town who wants to do surgery on this ulcer. The physician called the vascular surgeon who already knows the patient and said, ""With her circulation, do you think that's reasonable?""",Is it reasonable to surgically repair a foot ulcer without first improving the circulation?,1
"If a patient screens positive for possible alcohol abuse, what should you do next?",Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
Can Neurontin (gabapentin) be used for chronic pain?  Is it a legitimate treatment?  Any side effects to worry about?,Can gabapentin be used for chronic pain?,1
What cough suppressant contains dextromethorphan but is prescription and is covered by Title XIX?,How should I treat polymenorrhea in a 14-year-old girl?,0
This patient had a congested feeling in his ears.  His exam was normal.  What was causing the congested feeling?,Congested feeling ears. Exam normal. What was causing the congested feeling?,1
Female around age 40 with vascular headache. What is the dosage of Midrin? Said he has to look this up occasionally.,What is the dose of Famvir?,0
Is there anything that can be done one week out to prevent postherpetic neuralgia?,Boys' father has Marfan's Syndrome. Do these boys need further evaluation?,0
What is the dose of Claritin?,What is the dose of Claritin?,1
Phone call regarding one-year-old with fever of 102.  What is the dose of ibuprofen for kids?,"Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?",0
What is the bolused dose of morphine for a child who was on a drip?,What is the bolused dose of morphine for a child who was on a drip?,1
"34-year-old female, history of intermittent abdominal pain followed by diarrheal stool, followed by nausea, followed by vomiting.  This occurs about 1 time per month or every other month but no menstrual pattern.  Barium swallow, upper gastrointestinal series, gall bladder ultrasound all negative.  What is causing these symptoms?",Is this rash shingles or staphylococcal impetigo?,0
What laboratory studies do we do to work up a new leukemia patient?,What laboratory studies do we do to work up a new leukemia patient?,1
"37-year-old female inpatient with acute tubular necrosis and sepsis. She is anemic. The question is, ""Does anything impair erythropoietin secretion other than chronic renal failure?""",What impairs erythropoietin besides chronic renal failure?,1
30-year-old female exposed to influenza. Tamiflu versus Amantadine. Is there any difference in efficacy for prevention?,Is there any difference in efficacy between Tamiflu and amantadine?,1
"Before I got the positive Monospot back, the thought went through my mind ""What if these glands aren't from infectious mononucleosis? When do you do a lymph node biopsy so you aren't late with a lymphoma diagnosis? Can you wait 2 to 3 weeks?""",What if these glands aren't from infectious mononucleosis? When do you do a lymph node biopsy?,1
16-year-old girl got a tattoo from an unlicensed tattoo artist 3-4 months ago. Can a 16-year-old give consent for a human immunodeficiency virus test?,Can a 16-year-old give consent for a human immunodeficiency virus test?,1
"What is the percent of time that an ultrasound can tell if a breast cyst is really a cyst? ?75%, ? 99%, et cetera.",What is percent of time that an ultrasound can tell if a breast cyst is really a cyst?,1
"""With chickenpox, when do you use Acyclovir?""",Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?,0
"20-year-old volleyball player with leg cramps.  Coach said to try quinine.  I've used quinine for night cramps with fair results, but I've never used it in the setting of young athletes.",Is quinine effective for leg cramps?,1
"Another area we've had trouble with is Hepatitis C. I had a male patient I diagnosed with Hepatitis C, sent to a tertiary center where they did a recombinant DNA (deoxyribonucleic acid) and confirmed type C. But a different tertiary center tested twice and it was negative.",Why would one laboratory make the diagnosis of hepatitis C but another say the test was negative?,1
What dose of acyclovir does this patient need?,What dose of acyclovir does this patient need?,1
This patient is on a ketogenic diet.  What do we do for an intravenous infusion when she goes in for surgery?,What do we do for an intravenous infusion when she goes in for surgery?,1
How do you treat pancreatitis?,"What is that new drug like Prilosec - it has ""acid"" at the end of the name.",0
